nombre,categoria,precio,stock,descripcion
Bolso,3,1266,47,descripcion
Bolsa,3,1712,52,descripcion
Bolso mano,3,1450,124,descripcion
Bolsa grande,3,4482,122,descripcion
Reloj brillo,3,3608,124,descripcion
Reloj importado,3,3477,29,descripcion
Reloj cuadro pequeno,3,875,78,descripcion
Reloj circular pequeno,3,4578,101,descripcion
Pulsera pavoreal,3,4575,114,descripcion
Aretes diamantes,3,2932,98,descripcion
Collar perlas,3,4498,136,descripcion
Aretes largos,3,3533,121,descripcion
Juego anillos,3,1944,184,descripcion
juego collar,3,1720,126,descripcion
Aretes esfera,3,3190,192,descripcion
Pulsera esferas,3,2783,94,descripcion
Anillo diamantes,3,2818,137,descripcion
Collar cruz,3,229,73,descripcion
Anillo acabado,3,3200,51,descripcion
Pulsera oro/diamantes,3,4500,190,descripcion
