nombre,categoria,precio,stock,descripcion
Botines,2,2986,155,descripcion
Zapatillas,2,4822,172,descripcion
Zapatillas brillo,2,4901,109,descripcion
Botas,2,1850,129,descripcion
Tennis,2,4003,141,descripcion
Zapatillas abiertas,2,4647,195,descripcion
Zapatillas punta,2,1161,114,descripcion
Pantunflas lobo,2,821,49,descripcion
Zapatitos,2,3253,67,descripcion
Zapatitos abiertos,2,4150,61,descripcion
Zapatitos informales,2,869,14,descripcion
Zapatillas altas,2,1996,149,descripcion
Huarachitos,2,3254,41,descripcion
Tennis,2,4256,155,descripcion
Tennis altos,2,2911,1,descripcion
Pantunflas,2,2802,47,descripcion
Zapatillas botas,2,1412,72,descripcion
Tennis KN,2,2797,27,descripcion
Huarachitos brillo,2,2805,57,descripcion
Botas altas,2,1674,142,descripcion
